2024-04-03 00:00:18.264 [http-nio-8181-exec-25] INFO  c.j.common.lianlian.security.LLianPayAccpSignature - 签名处理中，签名源内容：{"oid_partner":"402402220000016691","timestamp":"20240403000018","user_id":"gz0002","user_type":"INNERCOMPANY"}，对应MD5值：d96f673efae2be0cb5777f90293ef89b
2024-04-03 00:00:18.471 [http-nio-8181-exec-25] INFO  com.jbp.common.lianlian.client.LLianPayClient - 请求参数：{"acct_type":"USEROWN","oid_partner":"402402220000016691","timestamp":"20240403000018","user_id":"gz0002","user_type":"USER"}
2024-04-03 00:00:19.102 [http-nio-8181-exec-25] INFO  com.jbp.common.lianlian.client.LLianPayClient - 响应结果：{"list":[{"acct_stat":"NORMAL","bank_acct_balance":"0.00","bank_acct_name":"义乌市雅莎日用品有限公司","bank_acct_no":"8888930201488321","bank_code":"03580000","brbank_no":"323651066666","txn_seqno":"LZT_BKH_59240261148734"}],"ret_code":"0000","ret_msg":"交易成功"}
2024-04-03 00:00:19.102 [http-nio-8181-exec-25] INFO  com.jbp.common.lianlian.client.LLianPayClient - 响应签名：Y9S2LR+oW8FjVzJO8WSZgBcgOsC56oiwpBEUmrDvs7vdthwkQphN57YjpZUHdnl1Q1SHnSHCMmQ45LC1r473iwcub2TzjOreKwjWV8OoGYfOfW38CuYI25ZNDq0TG/XJ5dnCdqjqONC8+xfvpA7qZ4NtMRPUihgtVCcJuFovRUU=
2024-04-03 00:00:19.102 [http-nio-8181-exec-25] INFO  c.j.common.lianlian.security.LLianPayAccpSignature - 签名验证中，源串：{"list":[{"acct_stat":"NORMAL","bank_acct_balance":"0.00","bank_acct_name":"义乌市雅莎日用品有限公司","bank_acct_no":"8888930201488321","bank_code":"03580000","brbank_no":"323651066666","txn_seqno":"LZT_BKH_59240261148734"}],"ret_code":"0000","ret_msg":"交易成功"}，对应MD5值：de62a6e896137431dd1329745bbdaa25
2024-04-03 00:00:19.103 [http-nio-8181-exec-25] INFO  com.jbp.common.lianlian.client.LLianPayClient - 响应验签通过！
2024-04-03 00:35:29.158 [http-nio-8181-exec-1] INFO  c.j.common.lianlian.security.LLianPayAccpSignature - 签名处理中，签名源内容：{"oid_partner":"402402220000016691","timestamp":"20240403003529","user_id":"gz0002","user_type":"INNERCOMPANY"}，对应MD5值：68952a4b8c29f12ce71ee07c2dc16d2b
2024-04-03 00:35:29.204 [http-nio-8181-exec-1] INFO  com.jbp.common.lianlian.client.LLianPayClient - 请求URL：https://accpapi.lianlianpay.com/v1/acctmgr/query-acctinfo
2024-04-03 00:35:29.204 [http-nio-8181-exec-1] INFO  com.jbp.common.lianlian.client.LLianPayClient - 请求签名值：rFIw4KmRf6YpGIk0IY5EJwFqLyyQ/2Y7O5b8ano7EKKHalvH7fBrF6kPXjIzWxKUgAntfMJz48/TmD+PDfeyQeOLm6eeMhm7YSO0BdRL1Pd1H+FAgEb/ZwQcTUzRC1KWh+Pe8hdL1aQfKDdPjJ0QnBLN5h7EIHbIA7iYW/lJu2RgNvU4QAgme4bIpfTDGZI+M0bv28MA9IWWH87BY4z04LyMufkzKYOmn64qxVSOL5gXFIHmBIaxW09tt5GIDNwPzIwxXOL2pJ+kRWVqQemJUX6eiIIpvSvoUJqdT0pUm36O+FAnfIaBpgSNqvGda827p5S/K3ARZ/ZrvQWYYgZWSsRiyXwgXqk+wN91l5Fl+rHqKEDsjlhIDVC5QNOhcQep8+c4tSYcj6tRYrkGM+TC6uyzuKS79jwE4/Qlzek39A+JfBLpgvRbXOvqT2zQ6umiprfZyRackyNzgnZYmYiKFC1M0j2MrBcbZyDrKr06QMK98NbyeVTGNzvmZU+gorzI797cfcDf06DB2N3sEQnJZ3j+mrr6EMRpK+qUiURZHFvBQV/wAByROvN83BzYmz1FeCBQADc5ykjtpgPSNHGpofO4cTVAGm7J8/fZWYAahSLvyGW7MRMKPVJZNJiclxwc2RbZcwXuPsYRMT+UTm9fAsk5/jVBTRNzoWE2X1Q5fwY=
2024-04-03 00:35:29.205 [http-nio-8181-exec-1] INFO  com.jbp.common.lianlian.client.LLianPayClient - 请求参数：{"oid_partner":"402402220000016691","timestamp":"20240403003529","user_id":"gz0002","user_type":"INNERCOMPANY"}
2024-04-03 00:35:29.434 [http-nio-8181-exec-1] INFO  com.jbp.common.lianlian.client.LLianPayClient - 响应结果：{"acctinfo_list":[{"acct_state":"NORMAL","acct_type":"USEROWN_AVAILABLE","amt_balaval":"2.01","amt_balcur":"2.01","amt_balfrz":"0.00","amt_lastaval":"2.01","amt_lastbal":"2.01","amt_lastfrz":"0.00","oid_acctno":"20240305000099561455"},{"acct_state":"NORMAL","acct_type":"USEROWN_PSETTLE","amt_balaval":"0.00","amt_balcur":"0.00","amt_balfrz":"0.00","amt_lastaval":"0.00","amt_lastbal":"0.00","amt_lastfrz":"0.00","oid_acctno":"20240305000099561458"}],"bank_account":"2527408771487222","oid_partner":"402402220000016691","oid_userno":"2024030577141027","ret_code":"0000","ret_msg":"交易成功","user_id":"gz0002"}
2024-04-03 00:35:29.434 [http-nio-8181-exec-1] INFO  com.jbp.common.lianlian.client.LLianPayClient - 响应签名：WV34BA0LVFRMPQW8dPF91K0tP9i9wZr/MQCChIuH4Ew//sK2lUzYeK7cCrD1MS6NoACgyjxXjfh61c4ndIBj27eZROePfMyxgffYdpDPNWTE+Rguc+WwzdFwEoWUTYFOab18XeqfaIiQBfTJs6lmBgOnpaVt0cixXpfuaew97ug=
2024-04-03 00:35:29.434 [http-nio-8181-exec-1] INFO  c.j.common.lianlian.security.LLianPayAccpSignature - 签名验证中，源串：{"acctinfo_list":[{"acct_state":"NORMAL","acct_type":"USEROWN_AVAILABLE","amt_balaval":"2.01","amt_balcur":"2.01","amt_balfrz":"0.00","amt_lastaval":"2.01","amt_lastbal":"2.01","amt_lastfrz":"0.00","oid_acctno":"20240305000099561455"},{"acct_state":"NORMAL","acct_type":"USEROWN_PSETTLE","amt_balaval":"0.00","amt_balcur":"0.00","amt_balfrz":"0.00","amt_lastaval":"0.00","amt_lastbal":"0.00","amt_lastfrz":"0.00","oid_acctno":"20240305000099561458"}],"bank_account":"2527408771487222","oid_partner":"402402220000016691","oid_userno":"2024030577141027","ret_code":"0000","ret_msg":"交易成功","user_id":"gz0002"}，对应MD5值：6909ccbe1ec7494fc23dee1bbe6bf835
2024-04-03 00:35:29.434 [http-nio-8181-exec-1] INFO  com.jbp.common.lianlian.client.LLianPayClient - 响应验签通过！
2024-04-03 00:35:29.438 [http-nio-8181-exec-1] INFO  c.j.common.lianlian.security.LLianPayAccpSignature - 签名处理中，签名源内容：{"acct_type":"USEROWN","oid_partner":"402402220000016691","timestamp":"20240403003529","user_id":"gz0002","user_type":"USER"}，对应MD5值：16e8d52411808df74efde04cd1c3b3b9
2024-04-03 00:35:29.486 [http-nio-8181-exec-1] INFO  com.jbp.common.lianlian.client.LLianPayClient - 请求URL：https://accpquery.lianlianpay.com/v1/lzt/query-acctinfo
2024-04-03 00:35:29.486 [http-nio-8181-exec-1] INFO  com.jbp.common.lianlian.client.LLianPayClient - 请求签名值：XHiLOw6P6e1nnGNqTb3itkC6dY6PfjHQMByNMHV+m7ceCGQ1c5c6aKpFvYxX5zvdkJS5+3vFLkwiOU3ebDkjMslOvEfAuSyI/0g4Yx93f6l7qXTl+rrYpuIr3z7wZUlNI7uJoJdQr801gtFX16l2k0QRXmYpArxdO9UUgZRkpo76aa0mCHO5jG1rLm3W9go+g8jgFKbmOnk1PdLDZbG6QaXQefCme3h8J6mo0vw/ULhL+8KQO6ZbNWsNI2l77W38oX1konmzMpWBq0qge0ACB14LNa1Y/dh3vPtnZJVlz9lraxlri/uj7zQU+gxmEFa8Ili2YimArRWSf5Gzds8rcn0aoC6ormnnQX73IzO3EkeadiWqiEEL4AzNVK+Ld78x0QDmICxwvaeKZj+X5DwuvrFeDeyWV2mz3n7dOdw84FxnX8kX2fHR0soiTFgLZqOcWfIvPKv94aQAH4t5utc3qVCjupd+9PhMkrlMChq9bRlVpecpvF+56HvYwvdjYEFcjUg3duQliipsep9CSyTtZsqt5wUNSgDhnxwTFRSgrotG2i76WICUKt0p4oCwekcFrS/L8yn2VabR7aRJ6e92mKV+/xgPdWhrmxCSEOW/TsznxVpcdAk3fsvDcnxIjuDNfDkh1uyLrByZOYmL8L0LodLBZj0sccysVUL8bbsrxuA=
2024-04-03 00:35:29.486 [http-nio-8181-exec-1] INFO  com.jbp.common.lianlian.client.LLianPayClient - 请求参数：{"acct_type":"USEROWN","oid_partner":"402402220000016691","timestamp":"20240403003529","user_id":"gz0002","user_type":"USER"}
2024-04-03 00:35:30.102 [http-nio-8181-exec-1] INFO  com.jbp.common.lianlian.client.LLianPayClient - 响应结果：{"list":[{"acct_stat":"NORMAL","bank_acct_balance":"0.00","bank_acct_name":"义乌市雅莎日用品有限公司","bank_acct_no":"8888930201488321","bank_code":"03580000","brbank_no":"323651066666","txn_seqno":"LZT_BKH_59240261148734"}],"ret_code":"0000","ret_msg":"交易成功"}
2024-04-03 00:35:30.102 [http-nio-8181-exec-1] INFO  com.jbp.common.lianlian.client.LLianPayClient - 响应签名：Y9S2LR+oW8FjVzJO8WSZgBcgOsC56oiwpBEUmrDvs7vdthwkQphN57YjpZUHdnl1Q1SHnSHCMmQ45LC1r473iwcub2TzjOreKwjWV8OoGYfOfW38CuYI25ZNDq0TG/XJ5dnCdqjqONC8+xfvpA7qZ4NtMRPUihgtVCcJuFovRUU=
2024-04-03 00:35:30.102 [http-nio-8181-exec-1] INFO  c.j.common.lianlian.security.LLianPayAccpSignature - 签名验证中，源串：{"list":[{"acct_stat":"NORMAL","bank_acct_balance":"0.00","bank_acct_name":"义乌市雅莎日用品有限公司","bank_acct_no":"8888930201488321","bank_code":"03580000","brbank_no":"323651066666","txn_seqno":"LZT_BKH_59240261148734"}],"ret_code":"0000","ret_msg":"交易成功"}，对应MD5值：de62a6e896137431dd1329745bbdaa25
2024-04-03 00:35:30.103 [http-nio-8181-exec-1] INFO  com.jbp.common.lianlian.client.LLianPayClient - 响应验签通过！
2024-04-03 00:35:44.928 [http-nio-8181-exec-27] INFO  c.j.common.lianlian.security.LLianPayAccpSignature - 签名处理中，签名源内容：{"amt":"1.00","bank_account_no":"8888930201488321","notify_url":"https://mer.pay.kkyp.vip/api/publicly/payment/callback/lianlian/lzt/LZT_FT_94397696189283","oid_partner":"402402220000016691","timestamp":"20240403003544","txn_seqno":"LZT_FT_94397696189283","txn_time":"20240403003544","user_id":"gz0002"}，对应MD5值：aae554a7cb3ba07dbbbe1e38038628ff
2024-04-03 00:35:44.970 [http-nio-8181-exec-27] INFO  com.jbp.common.lianlian.client.LLianPayClient - 请求URL：https://accpgw.lianlianpay.com/v1/acctmgr/lzt-fund-transfer
2024-04-03 00:35:44.970 [http-nio-8181-exec-27] INFO  com.jbp.common.lianlian.client.LLianPayClient - 请求签名值：bAhH+J8cKUKVFNkIVVHJZjBvx69A2xPqDXn5rLpXiqMrR3TqUp+Joov1KASo+tjMWLABJwMWcez0XWSbmMMcxnfB4xycsWZsVgKlTK6UoMR9ZJfch+VwlRfVBKpOiTggR+/Frki+mcbV1RpSIK2tWebMri5U/AJ4Qnx5EG/sni+GKYmPqpGVu60gijnp0MxBAcBGaABRJgJoUpukc8i/jK6sBc6gwjtQ9fENSzy+EZAEJ/4kpCRFf52ZqE5LJO5TuXrQJ/nhPrx1+rusdgabtsUEJ663JfBtzwQta0pPrhR3IWnBMbfJ77BBbpNpQweIJW4/tJkaTyQJJpzHapgFzl+6u2n51ndmU/TYprdb9xMZ/Ei17DFgyXNwsTh7wnu43RUxMsNDi+2KjzLPV5HusboVJZvn9b7wr9wJARtoPdFB9Isl9uEzugbz1q2XDtSAv5KVX5AUoi1Hwr9bvvagAHURH6mgBMJwJ+OOO0wa82pzmJtCwVq3QbTU6tSDTqugjk1i8DIf14HsU9sXxyeALMuwmXqkeaC70fum5cM7PpWsjE9QGTkZ4JnChZv+qkgISdkuGvPvid7poLZp7RJjKDY27Zc4vaD7zVoNXle75VCIFPNNIZKjems2BkcMLPWXH+C4gOffSbW3nQoZkJ7ZXnNwHqYM3eaam1lY3Kp9IJs=
2024-04-03 00:35:44.970 [http-nio-8181-exec-27] INFO  com.jbp.common.lianlian.client.LLianPayClient - 请求参数：{"amt":"1.00","bank_account_no":"8888930201488321","notify_url":"https://mer.pay.kkyp.vip/api/publicly/payment/callback/lianlian/lzt/LZT_FT_94397696189283","oid_partner":"402402220000016691","timestamp":"20240403003544","txn_seqno":"LZT_FT_94397696189283","txn_time":"20240403003544","user_id":"gz0002"}
2024-04-03 00:35:45.141 [http-nio-8181-exec-27] INFO  com.jbp.common.lianlian.client.LLianPayClient - 响应结果：{"ret_code":"9999","ret_msg":"系统内部错误，交易失败：商户配置不存在或者配置非商户调拨"}
2024-04-03 00:35:45.141 [http-nio-8181-exec-27] INFO  com.jbp.common.lianlian.client.LLianPayClient - 响应签名：aHlk8HLj8rY+1HQobIzytIqxCAuIogJSMy7qO9DRQ/FYum3wsX9fg+AY8fOr2004A+Zn4QdywPAVpP3VT+LN1YGOk1qMtwFgskfXESHaOCpqk7LpJwIjq5E5+EG6KyWcU/eZtRaR1g82pniYbyXteAkaThw3b00HBOwE4lEzaX8=
2024-04-03 00:35:45.141 [http-nio-8181-exec-27] INFO  c.j.common.lianlian.security.LLianPayAccpSignature - 签名验证中，源串：{"ret_code":"9999","ret_msg":"系统内部错误，交易失败：商户配置不存在或者配置非商户调拨"}，对应MD5值：dcd4321279f3b49ddc38df202e955f1e
2024-04-03 00:35:45.142 [http-nio-8181-exec-27] INFO  com.jbp.common.lianlian.client.LLianPayClient - 响应验签通过！
2024-04-03 00:35:52.737 [http-nio-8181-exec-28] INFO  c.j.common.lianlian.security.LLianPayAccpSignature - 签名处理中，签名源内容：{"amt":"1.00","bank_account_no":"8888930201488321","notify_url":"https://mer.pay.kkyp.vip/api/publicly/payment/callback/lianlian/lzt/LZT_FT_8468988254770","oid_partner":"402402220000016691","timestamp":"20240403003552","txn_seqno":"LZT_FT_8468988254770","txn_time":"20240403003552","user_id":"gz0002"}，对应MD5值：817014f58f0b7674b1552ec0edeaddd3
2024-04-03 00:35:52.791 [http-nio-8181-exec-28] INFO  com.jbp.common.lianlian.client.LLianPayClient - 请求URL：https://accpgw.lianlianpay.com/v1/acctmgr/lzt-fund-transfer
2024-04-03 00:35:52.791 [http-nio-8181-exec-28] INFO  com.jbp.common.lianlian.client.LLianPayClient - 请求签名值：BWsYbbL0Hvplz1oAqDTsxiqN6P6zx1Uof8jBoKKG2r96KtnGMhO53r8ZqHgN1B202wnMIqVVItNhAoaPuX1avyLpsko0TfqmDkH5EFkrs/bofklssfc6Fr8U/gCBBvejk/9aK0OxZM6wQfUQTs0+Qu1jxcr86nHhRJ3w9mn3BuozPuUUuR9cIrfqQLDRDPySgJ9whBjo/eK1tGxcOENioIaiq52Ejh8f0qTFabnB1HH9WPdwxx76LpyFo8kDr/WUnM+88clQKMOAamYzCEzvioKVI6aDGZhC6vehrJbqDMvlU+vrD9Z/fCXooV6jZJqMluqQT2XvXjpkZblwpwoDe7Tm/q8AkfNitxLdGvLedA+ZyOP0ZRZU2cfIrxUrOwnueCL3scup0KjzkKUYWCSTklZ4tO4OzOHgpJ0XHDzsZJeiuXp/r8h8w9i2nmExA48QufukPDw7Hl1saXlhi/Qu7c38OLx2FXR3UvzedkfFSLdvm+jQ7HxSTDfjaKV139CIqJZyTS2uim4eE4W9bvBQ/+R/WAuYpjORuaoatmp3plv7M6ruZsLnUeWi3cnS8ESOHBXUdSQit5xZcEFPOoZOLZoj4P9Ia3/zuLmDkTmCXO4pT+Cy7d2XaFy2m9yMLEdlksBKiSUBWCodYaH9Qcv/6Ji0fr9pXV/rCRJMMbJoX+8=
2024-04-03 00:35:52.791 [http-nio-8181-exec-28] INFO  com.jbp.common.lianlian.client.LLianPayClient - 请求参数：{"amt":"1.00","bank_account_no":"8888930201488321","notify_url":"https://mer.pay.kkyp.vip/api/publicly/payment/callback/lianlian/lzt/LZT_FT_8468988254770","oid_partner":"402402220000016691","timestamp":"20240403003552","txn_seqno":"LZT_FT_8468988254770","txn_time":"20240403003552","user_id":"gz0002"}
2024-04-03 00:35:52.817 [http-nio-8181-exec-28] INFO  com.jbp.common.lianlian.client.LLianPayClient - 响应结果：{"ret_code":"9999","ret_msg":"系统内部错误，交易失败：商户配置不存在或者配置非商户调拨"}
2024-04-03 00:35:52.817 [http-nio-8181-exec-28] INFO  com.jbp.common.lianlian.client.LLianPayClient - 响应签名：aHlk8HLj8rY+1HQobIzytIqxCAuIogJSMy7qO9DRQ/FYum3wsX9fg+AY8fOr2004A+Zn4QdywPAVpP3VT+LN1YGOk1qMtwFgskfXESHaOCpqk7LpJwIjq5E5+EG6KyWcU/eZtRaR1g82pniYbyXteAkaThw3b00HBOwE4lEzaX8=
2024-04-03 00:35:52.817 [http-nio-8181-exec-28] INFO  c.j.common.lianlian.security.LLianPayAccpSignature - 签名验证中，源串：{"ret_code":"9999","ret_msg":"系统内部错误，交易失败：商户配置不存在或者配置非商户调拨"}，对应MD5值：dcd4321279f3b49ddc38df202e955f1e
2024-04-03 00:35:52.818 [http-nio-8181-exec-28] INFO  com.jbp.common.lianlian.client.LLianPayClient - 响应验签通过！
2024-04-03 00:40:25.824 [http-nio-8181-exec-7] INFO  c.j.common.lianlian.security.LLianPayAccpSignature - 签名处理中，签名源内容：{"oid_partner":"402402220000016691","timestamp":"20240403004025","user_id":"gz0001","user_type":"INNERCOMPANY"}，对应MD5值：c8361149f470ce8b0315e8b12c1e8466
2024-04-03 00:40:25.871 [http-nio-8181-exec-7] INFO  com.jbp.common.lianlian.client.LLianPayClient - 请求URL：https://accpapi.lianlianpay.com/v1/acctmgr/query-acctinfo
2024-04-03 00:40:25.871 [http-nio-8181-exec-7] INFO  com.jbp.common.lianlian.client.LLianPayClient - 请求签名值：nAzGU1+WxMS/AOXn2aRMXMMOq53aXFXeqrMC7nKyXoHoF3xMAemKXeemle9ils5BW5BYplAesO6h+K/1KRYJ92P4VyEa17hQwnVFsRmsuLSip7NT6AOhgrTJf4QMGJeTbSRG5tnDOifRIxnI9bnRdEnSfpzA0VZSdL9oJY2OXi8OGPv25N6Am3trczsxiTVh8Bu55kSTPLQD+sxrxDw2qlHFbXn0SbfqjDOuCxhedaSmz7oTpwzSvqQHksQR0aNlTkf/TqTf4DNd8DXgU4CvX6cJXL+B1V+GmWc3xGO9BBOJZJNGvIUINz0BN1EnSCM9hXKkrmKfBR0ZvA4Eu+eMMl5h+auQhsaMLF8WcHAPe0fKMa7BAIFy8HtlFnXFthPzieitrMuTDjT6doOUit+lEWGQgRHcHxL/PCu8cnbEctceAP8qnF86OzA3IYtyQtBK+d5mz/fHpiorY3D3wv23EmUurXZpatGO9ZmKQC5oJbNSha3gjAXxAg18IqgynFUb3oRgniMd/XEVeNv5M8EDpB/gwNZ4GluzbJPWXZ+NcpSy2rYRzHea9EOnGHbXTvp8CTvloe2PHtdOeTbYvajTaFVYSThkoy45FjQ6xUWhE2LyccIC5D7A1AHJ8dP1AfFv0XfQ2rnv07QNtQ89OL9Gqq/NAJYH4Tre2Vj/vjVn13s=
2024-04-03 00:40:25.871 [http-nio-8181-exec-7] INFO  com.jbp.common.lianlian.client.LLianPayClient - 请求参数：{"oid_partner":"402402220000016691","timestamp":"20240403004025","user_id":"gz0001","user_type":"INNERCOMPANY"}
2024-04-03 00:40:25.984 [http-nio-8181-exec-7] INFO  com.jbp.common.lianlian.client.LLianPayClient - 响应结果：{"acctinfo_list":[{"acct_state":"NORMAL","acct_type":"USEROWN_PSETTLE","amt_balaval":"0.00","amt_balcur":"0.00","amt_balfrz":"0.00","amt_lastaval":"0.00","amt_lastbal":"0.00","amt_lastfrz":"0.00","oid_acctno":"20240305000099537689"},{"acct_state":"NORMAL","acct_type":"USEROWN_AVAILABLE","amt_balaval":"0.00","amt_balcur":"0.00","amt_balfrz":"0.00","amt_lastaval":"0.00","amt_lastbal":"0.00","amt_lastfrz":"0.00","oid_acctno":"20240305000099556514"}],"bank_account":"2527408726757056","oid_partner":"402402220000016691","oid_userno":"2024030577101121","ret_code":"0000","ret_msg":"交易成功","user_id":"gz0001"}
2024-04-03 00:40:25.985 [http-nio-8181-exec-7] INFO  com.jbp.common.lianlian.client.LLianPayClient - 响应签名：XtfBFDlI9y7XHmzK1BahOb+9AjLb8vu8qGgYzYnB5ulOce3uk8ulBdTPKmgsc/u8fLWNszqdzhiFNZswMUiato60RHdmttQtc0vOKJuG2AWl+NtZRR0hQ6VYGtjwY+HL/yYxUI28BIn0bm6Jh73AHG+HTvC3Gt1u7zGWx74YTec=
